사이트,링크된 페이지,타겟 페이지
naver.com,67,9
kjclub.com,39,1
dev.to,4,2
govinfo-tip.com,2,1
thewordcracker.com,2,2
tistory.com,2,2
dcinside.com,1,1
healthall.kr,1,1
kosmos101.com,1,1
twstalker.com,1,1
velog.io,1,1
winevisionshop.kr,1,1
